1.446095254233666250e+00,3.922433297176314948e+00,1.493353569254151747e+00
1.521880442572467684e+00,4.023082446570973580e+00,1.518953648255999545e+00
1.521120771981331998e+00,4.096645410396575926e+00,1.547464622122644906e+00
1.443756248265558817e+00,4.224596409972479094e+00,1.621217295220602983e+00
1.868006048648599648e+00,4.418388588138645545e+00,1.702995925718777448e+00
2.593012107948497125e+00,4.654267537345567973e+00,1.812672590398740180e+00
3.680200401637603758e+00,5.158456902004522782e+00,1.958996698531611180e+00
4.953766567572211343e+00,5.427550436659128508e+00,1.924013337063716467e+00
5.006291161309312621e+00,5.700701273715983675e+00,1.658617245457855605e+00
7.273024545677068353e+00,6.572720760073354818e+00,1.459734660191314148e+00
5.861706125487574859e+00,8.263647153989069238e+00,1.250278125571379295e+00
4.468559801486653882e+00,9.129138164402975875e+00,1.124504378628701007e+00
2.920419643269131615e+00,9.314580442553859640e+00,1.099874635131928180e+00
3.079952043174622567e+00,9.028761413222735399e+00,1.096868090633089876e+00
4.396928594755824982e+00,9.085644537264924381e+00,1.029863711169231921e+00
4.031960437379166429e+00,7.944680010435332562e+00,1.024102128882240947e+00
4.049799625072980191e+00,7.298302421406592799e+00,9.915082509311220482e-01
7.810243281320359721e+00,7.947790748171925657e+00,9.081794093990639416e-01
-7.476685663655498360e+00,9.892253860594690806e+00,8.252685726553858903e-01
-3.365619418395156437e+00,1.115682083942108882e+01,8.002627518499448867e-01
-3.208566536285365700e+00,1.195580915669775024e+01,7.784735694096348579e-01
-3.254495020192612387e+00,1.138903161114415497e+01,8.764055129476820971e-01
-2.563686828156477748e+00,1.166145352133726298e+01,9.720084508077789787e-01
-1.579079198049392341e+00,1.574620530236674476e+01,9.681311356649630051e-01
-7.758497588490763652e-01,3.282886700840830940e+01,8.824135776221803118e-01
-8.651291755235955838e-01,7.873782929584312740e+01,8.387842958383281422e-01
2.958570737542410178e+00,1.409504532770298795e+02,4.767565980448497109e-01
1.102707180776455465e+00,3.537017310676840793e+02,2.521560860300006701e-01
8.643073006299415439e-01,1.870630042785100500e+02,6.378522594081177388e-01
3.474366215170785477e-01,4.378599810584004359e+01,3.045635654622307786e+00
3.756118040152455206e-01,1.932838898978696918e+01,3.289874423373583934e+00
6.526471306509430415e-01,1.066689790924319325e+01,2.232958447997540841e+00
