0,1,2,3,4,5,6,7,8,9
(-0.009017361852580773+0j),(-0.035481358593850425+0j),(0.016270457255743567+0j),(0.048027253345267154+0j),(-0.010389569091016976+0j),(-0.03802974346523195+0j),(0.02273943423694282+0j),(0.051751815849593985+0j),(-0.009997509880035203+0j),(-0.03900989149268639+0j),(0.017642664494179772+0j),(0.053712111904502854+0j),(-0.008037213825126342+0j),(-0.03234488490599625+0j),(0.015290309228289136+0j),(0.04567489807937652+0j)
(-0.026573310526701793+0.0018539626574064153j),(-0.10266386549693678-0.000684918691669223j),(0.04926044271971598-0.0012274135382012042j),(0.14514942657564084-0.0015186824035279926j),(-0.03186248176088144+0.0008273425368064656j),(-0.10849166906241851+0.0006201279441529067j),(0.06864258043175006-0.0032950119633134824j),(0.15793101459712927-0.0007457409347555035j),(-0.029540912157046656-0.002490901456093968j),(-0.11299890720269254+0.00038968132191239747j),(0.056202854878823094-0.0009697663819437077j),(0.16223402872289325-0.0034438569835030302j),(-0.024159735201082805-0.0011250325771855587j),(-0.09282217465459927+0.0008337637118587695j),(0.04840755569402782+0.00014884502018954677j),(0.14123181899966636+0.0007081507212561737j)
(-0.015756950346439966+0.0021970909097393213j),(-0.055663119276807595-0.0036649120882051097j),(0.034360271132483244-0.011379776368632376j),(0.08622463898238655-0.01044833988561704j),(-0.020755673271826577-0.001503651506150299j),(-0.05615199953687588+0.00019757104943626634j),(0.04461665546587315-0.016915691956015548j),(0.0986102712363042-0.00994415406266961j),(-0.016431202509043483-0.010543083260973448j),(-0.06053845803710993-0.001465461283151275j),(0.046808339623704565-0.01101590007035053j),(0.09955645024695137-0.01885325818619507j),(-0.014785888008399818-0.0074651176700801635j),(-0.04645190595301675+0.0002478049388189423j),(0.04458677090682856-0.004644520687587372j),(0.10021010308098405-0.008820280557797478j)
(0.012343610757079628-0.005624754699944616j),(0.05655167696880185-0.0038610519884693345j),(-0.012341814918822788-0.02140175782791801j),(-0.09212070028594196-0.018708138271834526j),(0.014621903478470703-0.013152616438217178j),(0.059122995232517295-0.002368826813721815j),(-0.029885551519311007-0.023315156611999264j),(-0.0904387802839254-0.023912844317754162j),(0.018256137812907948-0.017451904769089078j),(0.06461615192511026-0.00607145672220096j),(-0.010544832622117684-0.02255303632559921j),(-0.09050393518643629-0.030781378066848844j),(0.013741341213364195-0.016961380156422425j),(0.056518154711600946-0.004632298452316485j),(0.0038214556143892353-0.012151649130553367j),(-0.05491984851150922-0.028891711804488636j)
(7.519445593174526e-05-0.007345606319968974j),(0.014799112032811427+0.0052236379009174445j),(-0.0027419961106233473-0.002484703440324449j),(-0.06302661302230755-0.007645379968586214j),(0.003508921496884379-0.020886836479316367j),(0.009050527180145401+6.597745639257537e-05j),(-0.018106944173673825-0.003105898420436547j),(-0.05646127095170641-0.013293513189072525j),(0.007230487400767606-0.018596126993118446j),(0.018516786910801396-0.0025755035115042355j),(-0.017434575320864357-0.011275196220238018j),(-0.05062052783162578-0.005948065717276236j),(0.01067210470424327-0.01836126909805677j),(0.010487736963406245-0.005149639781450899j),(-0.0063963911153464125-0.0060146401124617985j),(-0.03689713536049162-0.01156760209409865j)
