0,1,2,3,4,5,6,7,8,9
(-0.0019602960549088637+0j),(-0.03861783228170461+0j),(0.020191049365561292+0j),(0.041558276364067906+0j),(-0.008037213825126342+0j),(-0.04351857241897676+0j),(0.017250605283197995+0j),(0.03567738819934131+0j),(-0.008233243430617227+0j),(-0.04293048360250411+0j),(0.01607442765025268+0j),(0.030580618456578272+0j),(-0.002940444082363295+0j),(-0.03567738819934132+0j),(0.018818842127125087+0j),(0.034109151355414216+0j)
(-0.008535326622318387+0.00428649454103637j),(-0.11464758183267514+0.0017115388122691732j),(0.057238857465275704-0.0032678114292964944j),(0.12930803556319426-0.011630196411278913j),(-0.02598666449624553+0.004422497211121308j),(-0.12902620267091766+0.0020403978910952915j),(0.048950655358464275-0.003931950762001035j),(0.11483075634197522-0.013121678280789917j),(-0.02828008170748433+0.006829344394542046j),(-0.12620954481700883+0.0031862098272455322j),(0.04776881990894108-0.004996161096100314j),(0.10085139427911917-0.010260359027940466j),(-0.015603960355718977+0.004179208238776192j),(-0.1063736798928627+0.002155621202215546j),(0.05429657931923787-0.003992773005087314j),(0.10935066870046191-0.00949383873422028j)
(-0.008273223854799084+0.008921553608923825j),(-0.07150977064511843+0.003921797520591703j),(0.032485687099148806-0.006865530764886779j),(0.0898879947582295-0.047479781888680274j),(-0.018489911523305792+0.012035414479729166j),(-0.0791415745827522+0.005247629966214523j),(0.02763294049313712-0.007682371272461387j),(0.09301396384974236-0.05032485065071088j),(-0.022687075192680522+0.017233400932390487j),(-0.07400733897904502+0.007445691711717922j),(0.03100646273237076-0.011369538103653366j),(0.0893657163435415-0.041478236377679126j),(-0.0211386014610305+0.011100625893391045j),(-0.06499049345341912+0.004834921739772445j),(0.03140130248345829-0.00577924232358004j),(0.08976947209401281-0.03816303861406466j)
(0.006065428426116777+0.007850397310441593j),(0.050445985259290865+0.0011245186403397156j),(-0.024717974813164012+0.005657506910002653j),(-0.05849036602634744-0.051961275292159805j),(0.00938892398403255+0.012222332776968433j),(0.05860878966220871+0.0020359468560424403j),(-0.022427025634354777+0.00600322099540956j),(-0.031014583558511992-0.04898969121421857j),(0.006616856716593739+0.007947381268065505j),(0.0627480673490726-0.0009829957762308127j),(-0.019650628229646548+0.0016385499390156088j),(-0.018434907599852668-0.04819809791174011j),(-0.006300540305621221+0.004090003876454279j),(0.05255127282930825+0.00017885846938922785j),(-0.02674797737048336+0.010338936133197597j),(-0.031990111331314575-0.04832471228145112j)
(0.007461345807030164+0.016837372997434194j),(0.019091359998136857+0.0009396050664697126j),(-0.014804324324611316+0.017810449537682054j),(-0.041486331898580815+0.01285482368640984j),(0.00019683182662994046+0.012512332011928964j),(0.02005744397390559-0.0016133459264692305j),(-0.013397090553086624+0.015420180648740572j),(-0.037918263466607344+0.024789074901583028j),(-0.007009748067943702+0.0015532319899270713j),(0.02074294545917533-0.011710596234120203j),(-0.012620237234286968+0.012560636418470146j),(-0.039627727907822846+0.003802050446455355j),(-0.01328469521473179-0.004058562844017599j),(0.022501237587468543-0.005134053542147713j),(-0.011660639866376398+0.012758881645393606j),(-0.05068829158100819-0.007474072943696657j)
