0,1,2,3,4,5,6,7,8,9
(0.023719582264397247+0j),(-0.023719582264397247+0j),(0.047243134923303606+0j),(0.0629255033625745+0j),(0.026660026346760537+0j),(-0.0229354638424337+0j),(0.05175181584959399+0j),(0.07703963495791832+0j),(0.022151345420470158+0j),(-0.021171197393015727+0j),(0.04783122373977626+0j),(0.07213889482064617+0j),(0.022739434236942812+0j),(-0.016858546072216225+0j),(0.042146365180540574+0j),(0.060573148096683876+0j)
(0.0735957026395004-0.0017387393462861608j),(-0.07195934077207973+0.00030165854480913054j),(0.14037500697447258+0.005819535128476743j),(0.18508987734786242-0.002687726369265185j),(0.08235759222679258+0.0007897523233071362j),(-0.06984144827954253-0.0001968249131712168j),(0.15181536905840975+0.006362029975008723j),(0.22732101538484437-0.0012946569563397877j),(0.06959676139466639-0.0008337637118587698j),(-0.06351582423271648+5.043256360393787e-05j),(0.1390056286443253+0.0036471030717265497j),(0.2141846108367933-0.003230221215797166j),(0.07042114704816699+0.0020028076775959617j),(-0.05079744596018523-0.00013600267008493787j),(0.12279432173253178+0.004640101483257208j),(0.17886827718474307-0.0043384429384480784j)
(0.04836710744357428-0.006141678896787697j),(-0.04851858543031479+0.0012007500285560913j),(0.0832524968122579+0.014881388628395938j),(0.10131672031801994-0.008247620122500365j),(0.052001663603558276-0.0012388499402474597j),(-0.04744786508545641+0.0005319759287922058j),(0.08799709429778613+0.017694535764878453j),(0.1297730710627083-0.005899115185363799j),(0.04880061097645019-0.008002904326753064j),(-0.04173578652479412+0.0003639497210815838j),(0.07247975857709815+0.009937992665034232j),(0.12652095095834426-0.011508818153359295j),(0.04878984764577922+0.0019053713445124063j),(-0.03271563215110009-0.0007342142214015923j),(0.0673410180926286+0.009985866659102402j),(0.10292109485151318-0.015957678287826852j)
(-0.03449707940602005-0.006759080132391451j),(0.030266333003151822+0.0015204024587544694j),(-0.07268809626540317+0.005598566999024761j),(-0.11634344646351709-0.007037931747086582j),(-0.04854929788003917-0.009240648225967322j),(0.029812019053261526+0.005157909969241999j),(-0.07777939404349518+0.008529734286712165j),(-0.12840594817731044-0.00970334187533682j),(-0.02997907568100829-0.018481728765823813j),(0.024685872208976646+0.00456224633839279j),(-0.08927806648584724+0.003937236297642029j),(-0.11318288390139249-0.011304512038486281j),(-0.02756756549358545-0.004802906189200455j),(0.02240587116215795+0.002720587101198357j),(-0.07067155628732552-0.0017405853071656156j),(-0.09835685774899704-0.018116789239505993j)
(-0.0058149476267829354-0.002737417670911224j),(0.018520061977045348+0.00024863644401285653j),(-0.025656537423353644-0.001683887513404452j),(-0.05559512620015584+0.0029648713183418906j),(-0.024348710114111757-0.005984693023464773j),(0.019811733937887266+0.009525825290585665j),(-0.028578912833504267-0.007489539410378482j),(-0.057883853306579414-0.0047800900100633875j),(-0.01629953480901468-0.008117096411934548j),(0.007883255595875646+0.012646417272262542j),(-0.037074051371149275-0.0074327763723944455j),(-0.04745678429296533+0.002008317609611057j),(-0.012913825138116463+0.0008746819938889893j),(0.009700739712040567+0.010650518289070253j),(-0.03195690343329859-0.0121948585177852j),(-0.04158168959489502-0.0040385566842941365j)
