0,1,2,3,4,5,6,7,8,9
(-0.002352355265890636+0j),(-0.025875907924796996+0j),(0.039009891492686376+0j),(0.07782375337988187+0j),(0.0007841184219635451+0j),(-0.026856055952251427+0j),(0.03999003952014081+0j),(0.08664508562697176+0j),(0.0023523552658906354+0j),(-0.02842429279617852+0j),(0.04332254281348588+0j),(0.0876252336544262+0j),(0.0017642664494179772+0j),(-0.023327523053415473+0j),(0.039597980309159043+0j),(0.08350861193911757+0j)
(-0.00559478357814466-0.0040199735391043025j),(-0.0771318263803992+0.0021219994931462533j),(0.11949231178539481-0.0021660108816978865j),(0.2351713321943695-0.008006325369139313j),(0.003058515830496034-0.002978995234591974j),(-0.08102783754795136+0.001535493258062639j),(0.12001500552485242-0.0013658688789084093j),(0.26256456104143755-0.0074158506296256605j),(0.008326187333271992-0.0035111004016416133j),(-0.08586054933874858+0.0016507165691828929j),(0.12991891127153277-0.00257250305814493j),(0.2640068263288523-0.003894360548501706j),(0.007954437370250434-0.001958796289044328j),(-0.07133262314891543+0.0011354222566679008j),(0.12226606913830669-0.0037079253148128303j),(0.25379010867380225-0.010903719001680323j)
(0.001675065565798654-0.018167491446183195j),(-0.04817902592675745+0.007541630622337437j),(0.08185230750959271-0.007909674099270585j),(0.15179810132637422-0.03300058386988872j),(0.006918163625551744-0.010420791864679597j),(-0.05309061918848505+0.005207046070885143j),(0.07348618427168305-0.004779114723680113j),(0.17187618561889373-0.028102447515601703j),(0.009852195095875888-0.012857302690411503j),(-0.056166501741407256+0.00476071613537377j),(0.08081071627521924-0.01316839566654475j),(0.16977728639755676-0.018325207848047215j),(0.015240770734615126-0.008132257135450759j),(-0.04919387234158744+0.0036857777716415435j),(0.0885922581765269-0.01389198905812896j),(0.17032048858323084-0.0412777359324427j)
(0.0071663870547057675-0.025602384446970106j),(0.03614907564212214+0.005927857143429336j),(-0.04832888127510723-0.007202192341373j),(-0.10947157270455536-0.03894828168573221j),(0.006452310766223865-0.013597578387753363j),(0.035934845433426725+0.004245658948354471j),(-0.06461728942109167-0.005560789401088031j),(-0.11762625456997858-0.03506649236733593j),(0.0025296786189162998-0.017547130506054408j),(0.03877144852528551+0.0022883612594507734j),(-0.06692938707181495-0.02233128773881896j),(-0.12058845666354005-0.028840418325768086j),(0.013184673158871814-0.013578905745729588j),(0.027954213706624455+0.003556133157852327j),(-0.0411163224745465-0.01705864811623186j),(-0.10474940794522587-0.049102099409718464j)
(-0.0026839373166411356-0.00613676419139547j),(0.018122276304742453-0.0037873665624142843j),(-0.02666944852541825+0.005683532656639997j),(-0.06269083097915429+0.006798086924378388j),(-0.0013075069433498617-0.006169005691864013j),(0.022333937638042214-0.0017478764741968669j),(-0.033743579333876506+0.0002492382214054896j),(-0.06654079151811777-0.0121069107213186j),(-0.0023104508874509924-0.006470007210516124j),(0.02427911639231845-0.0027742038252724513j),(-0.04094654928825419-0.008986333377692057j),(-0.06621513181434721-0.012454074141338634j),(-0.0028363552576573057-0.004960185520365996j),(0.01677966875590354+0.0005614353350411293j),(-0.032950560784208854-0.006437606861874889j),(-0.061499579583448746-0.013248537724013978j)
