0,1,2,3,4,5,6,7,8,9
(-0.0045086809262903866+0j),(-0.029796500034614728+0j),(0.024111641475379017+0j),(0.03293297372246891+0j),(-0.0001960296054908865+0j),(-0.031168707273050933+0j),(0.03136473687854182+0j),(0.041754305969558786+0j),(-0.005096769742763044+0j),(-0.0343051809609051+0j),(0.025483848713815222+0j),(0.037637684254250174+0j),(-0.0029404440823632945+0j),(-0.027640174374214975+0j),(0.02509178950283345+0j),(0.033913121749923336+0j)
(-0.009834686916761906+0.0035111004016416133j),(-0.08556158737118408-0.00010880213606795007j),(0.07953627140092029-0.0023188244063174707j),(0.09712544108293619-0.00614839420730286j),(0.0028870671672707026+0.0035111004016416133j),(-0.09027696995589005+0.0006641393327045401j),(0.09926319716682341-0.0017867192392678308j),(0.12226770527836037-0.0067452901218688155j),(-0.013501501849880382+0.0034230776245383465j),(-0.0993829050550098+0.0005761165556012732j),(0.08400179952364081-0.0015018715489933474j),(0.10803784288849595-0.009870677706028069j),(-0.006687989117385007+0.005480286370168283j),(-0.07983507545813875+0.0002576471562574964j),(0.08180138287880062+0.001355479199426069j),(0.10168570715871122-0.00995227930807903j)
(-0.0018872121884610086+0.014390343277851873j),(-0.046031787702650886+0.00019101019845461407j),(0.0602346570124278-0.0039050464683506652j),(0.042492520560680126-0.022646884146648404j),(0.005808234855979882+0.013678224052165663j),(-0.050113293410525145+0.0023963451541888807j),(0.06614158141860021-0.005318884802568829j),(0.057750413428001475-0.02855073601114915j),(-0.010025647537310818+0.011585142065065529j),(-0.055306748225092614+0.0014762756372559748j),(0.06457138336694247-0.007716930040278923j),(0.04754399138847421-0.040618452079460625j),(-0.0047968699085899425+0.01609954553415046j),(-0.04402304715277185-0.00021866143237172806j),(0.06006619576790995+0.0012098474106316639j),(0.05519797417929344-0.042430780132137844j)
(0.004096874900894855+0.022116348783223383j),(0.04484039469150708+0.004496431298981578j),(-0.03666688488565853+0.00848331902256293j),(-0.08323082867820276-0.025703372383819555j),(-0.005001045915464674+0.019993881701669085j),(0.045717921525775654+0.004361990041483327j),(-0.058979319398948404+0.0009569285603089205j),(-0.09496093159484359-0.03588280330431174j),(-0.00537882634030535+0.013400695747174113j),(0.04954199181471513+0.001264960719725713j),(-0.0407488634239097-0.009408022149053534j),(-0.08508902680954954-0.04733917412324608j),(-0.00877359587218363+0.014410430884815655j),(0.03953112971476305-0.0028875287103954043j),(-0.046094216902464-0.002936443324329283j),(-0.07082563986409479-0.049795462104670174j)
(-0.0009729701388349664+0.018457812417063457j),(0.008787300701347329+0.011348453190789217j),(-0.023621196828787227+0.017286392334944084j),(-0.005953544629639124-0.0037569302718722195j),(-0.01119200449067773+0.014142619261634166j),(0.009986698176872803+0.005216223853835747j),(-0.03771375540791283+0.011793380480825658j),(-0.019656908081981013+0.0012316835667856886j),(-0.00643499537073758+0.004315804610021205j),(0.009240268454830818-0.0002006620136932527j),(-0.03629530790877439+0.002942937573393669j),(-0.016752377818833784+0.0058733147906717305j),(-0.012956512856332474+0.0017396993211243432j),(0.006353272358997544-0.005575177327206815j),(-0.04354647460906178+0.002699885529035015j),(-0.027235031703787597+0.012315160767718786j)
