0,1,2,3,4,5,6,7,8,9
(0.060573148096683876+0j),(0.01783869409967066+0j),(0.09801480274544316+0j),(0.13526042778871158+0j),(0.0874292040489353+0j),(0.037637684254250174+0j),(0.127615273174567+0j),(0.1744663488868889+0j),(0.08017610864577251+0j),(0.03136473687854182+0j),(0.12036217777140422+0j),(0.16290060216292654+0j),(0.06841433231631934+0j),(0.026071937530287883+0j),(0.10311157248820621+0j),(0.1474142633291465+0j)
(0.16647839482506133-0.02564494481320611j),(0.0489664949884983-0.021981030886944915j),(0.28665671355265554-0.029732161770448996j),(0.3962839440368909-0.04084309536478289j),(0.2539554470094641-0.03059709452075479j),(0.11338029436074956-0.027607709606680474j),(0.38089161726459286-0.03291837159769453j),(0.5190300587162311-0.04467663367019831j),(0.2321273098849098-0.0339633184066369j),(0.09579395130223087-0.026164207630151138j),(0.35876605992030086-0.038549018821860126j),(0.49070475220460663-0.0448358683698702j),(0.20485667906764454-0.029350417457396673j),(0.08424355853841758-0.02303239887093958j),(0.3180798272169595-0.03227898012838471j),(0.4537536550967065-0.039843675778199916j)
(0.059538447966831394-0.0808882704717144j),(0.0067080721352548375-0.06715465762724279j),(0.1479540833093189-0.08832129248227123j),(0.2094964844461399-0.12415625883524527j),(0.1323607490615733-0.09886550184254395j),(0.061614982145001794-0.0897148217318666j),(0.22109603206499062-0.10450620814777936j),(0.3014447519118097-0.1399517087415702j),(0.11996734378348224-0.10885846906293374j),(0.05708454534930965-0.08576211118534263j),(0.2099758690775117-0.12243167769774813j),(0.29994021309502583-0.14014542762316184j),(0.12542416556827696-0.09725497697018187j),(0.06199917227687406-0.07828173661748367j),(0.21204316015470714-0.10522495716351069j),(0.3047563859060617-0.13070250252365562j)
(-0.13789459041736063-0.06067975236437646j),(-0.06956024365410426-0.0442705274252765j),(-0.1942360827489718-0.0589247768698815j),(-0.2630059688021395-0.08609142818860993j),(-0.15651083151499992-0.07855800875950227j),(-0.07925036300109164-0.07088693793375371j),(-0.21849973751137655-0.0839889856784962j),(-0.2992120105063798-0.10605536885889681j),(-0.14277098211837558-0.0804356279979051j),(-0.05771841849093882-0.06529352648637288j),(-0.1963135202663627-0.09135065720992722j),(-0.2624291630510785-0.10618311665308777j),(-0.10258513615872333-0.07637310876403818j),(-0.04068781169322448-0.06420958694387843j),(-0.14903397337810131-0.0791885612856042j),(-0.20332809121650205-0.10812286544568034j)
(-0.034136683932522005+0.028958884048147577j),(-0.025502150812123387+0.03316693510612814j),(-0.08714808110075865+0.030778043258194936j),(-0.12299263310138793+0.040918913946971676j),(-0.05004411096349071+0.025683050805230003j),(-0.03354810748816644+0.027908208645779423j),(-0.09518947131053627+0.016513162904278567j),(-0.14421643693575842+0.033704836729043744j),(-0.034903816105549115+0.037136855399340286j),(-0.018881415470051222+0.032230832844514806j),(-0.06875847575537763+0.03126705569340117j),(-0.12198426610351537+0.02823378293512306j),(-0.03457919986895184+0.03560566762693426j),(-0.0282648949679197+0.02784948874646999j),(-0.07035701695405276+0.03584191955922864j),(-0.10252495248703114+0.03100204806927022j)
