0,1,2,3,4,5,6,7,8,9
(0.004704710531781272+0j),(-0.030972677667560046+0j),(0.02097516778752484+0j),(0.06155329612413832+0j),(0.0015682368439270903+0j),(-0.034697240171886884+0j),(0.01921090133810686+0j),(0.05880888164726591+0j),(-0.003528532898835955+0j),(-0.03646150662130486+0j),(0.01666251646672534+0j),(0.053320052693521074+0j),(0.00215632566039975+0j),(-0.030188559245596498+0j),(0.02038707897105218+0j),(0.05665255598686616+0j)
(0.017461717611004138-0.0033454445269174202j),(-0.09173125340522724-0.004864126930445413j),(0.06141168500396585-0.005528266263149954j),(0.18550115428517142-0.010385972018543063j),(0.007138790744189549-0.004107996316207569j),(-0.10257568352805597-0.0035590802946232833j),(0.055579510782368384-0.007151782298315859j),(0.17906932331137265-0.007704666824330185j),(-0.008784480840328946-0.0035758911491579294j),(-0.10591667354626784-0.004063984927655936j),(0.051319944060813784-0.006822923219489742j),(0.1644278916683515-0.006510874995198269j),(0.010947810426304334-0.00434883261793042j),(-0.08735564463804348-0.0025284916695932965j),(0.06078332895595611-0.007409429454573356j),(0.17368313211906194-0.005863546517028377j)
(0.013354586771211343-0.014627989687523511j),(-0.056970438303661844-0.017199585699033876j),(0.032635784504369235-0.022734160787486617j),(0.11223207251801917-0.03239240811771377j),(0.004482156801123757-0.01739925418043388j),(-0.06234354257913652-0.012164090091225266j),(0.02984488988499901-0.026569652503004183j),(0.11045351943845393-0.02289250134219596j),(-0.004676781323961117-0.016630270778419512j),(-0.059901155237433695-0.014563541276993712j),(0.03294650512553657-0.027196195171373394j),(0.10666595077222468-0.025618808832066676j),(0.013295576458789662-0.02302520365241231j),(-0.048286388550865034-0.011572938651410394j),(0.04045113523527936-0.030540588988890983j),(0.11349538564687288-0.024353589517636963j)
(-0.014606432437280869-0.01997417009751592j),(0.03869120036701537-0.015205720489678998j),(-0.03751943761978285-0.028921186030163085j),(-0.10797091171094429-0.018349880182064498j),(-0.01174283115531703-0.023667425527777116j),(0.04660969642265533-0.010217338682194113j),(-0.029526089272401808-0.02943370309183064j),(-0.11018153839906547-0.010879628130879782j),(0.0014519210273154781-0.024687928895646978j),(0.0524748121789166-0.015038216402827577j),(-0.025756463730150662-0.034341317194920534j),(-0.09312009791227265-0.03383929956677968j),(-0.006596264297495518-0.03704055910835568j),(0.04439796343732128-0.017398653851107733j),(-0.01785731474375833-0.039033245851642195j),(-0.0927579041020512-0.03400778876640742j)
(-0.0084923503789993-0.0010332911499121747j),(0.010962153355206693+0.0012780139935256443j),(-0.0062425067238714195-0.00541703007765136j),(-0.062219071759359805+0.027796025373867897j),(-0.0042648543492191-0.005370276198341448j),(0.016516696490980323+0.0005302823330847321j),(-0.0003744569219146822-0.0019448913506599375j),(-0.07861641176716365+0.020550298633413414j),(0.004053561056979809-0.007079558827825091j),(0.016511669054723406-0.001756635805760646j),(-0.008562385184919077-0.008234203753906327j),(-0.06713869484796514-0.014092220725519588j),(-0.01618167571816004-0.01014612957365823j),(0.014278355290181203-0.0047938612399894085j),(0.0005356150936786253-0.005568514106239755j),(-0.06907508502211691-0.012465269736322195j)
