0,1,2,3,4,5,6,7,8,9
(0.013722072384362042+0j),(-0.033129003327959795+0j),(0.02920841121814206+0j),(0.06547388823395604+0j),(0.008625302641599001+0j),(-0.03567738819934131+0j),(0.02881635200716029+0j),(0.061161236913156544+0j),(0.011173687512980522+0j),(-0.03763768425425018+0j),(0.027248115163233198+0j),(0.05763270401432058+0j),(0.013133983567889385+0j),(-0.03430518096090511+0j),(0.02960047042912384+0j),(0.0631215329680654+0j)
(0.04348775345598277-0.0014746710149763592j),(-0.10045332370238436-0.004491256463067662j),(0.08492230696767669-0.00302055395252134j),(0.19571285770387467-0.021700151701100463j),(0.027088708024736053-0.0040743746071382776j),(-0.10678003927084344-0.004809725862411438j),(0.08523075050472242-0.0036406818966742464j),(0.18358256824781607-0.02131689155424037j),(0.03586370729558376-0.0017051176372168684j),(-0.11176915701582554-0.003992773005087316j),(0.08177024595236142-0.0022100222702495205j),(0.17843476254357254-0.022879585346319998j),(0.04061935711182682-0.003098187050142265j),(-0.10258333103386265-0.003592702003692576j),(0.09051709283061316-0.00233166675642208j),(0.198272268177356-0.022167466120633784j)
(0.03154109870336708-0.0036663180362634623j),(-0.06827425734140476-0.015497772767617837j),(0.037684543981252545-0.017235546428073855j),(0.10638271389386748-0.07607540596380559j),(0.018095176233972457-0.011529942313310596j),(-0.06770384332922058-0.01831132123937879j),(0.04639488560334708-0.020273657371394888j),(0.10343475765468355-0.07691267704252239j),(0.025240430293048448-0.0064479617709842585j),(-0.06726443196626988-0.015947610069987208j),(0.04811810027087736-0.01568072585572479j),(0.11749465273119733-0.08652242622583603j),(0.028057737423923305-0.010166304091459265j),(-0.06386545063454459-0.013680600835988096j),(0.06066697977029322-0.017622791163870215j),(0.14540789465346401-0.08631871254920448j)
(-0.019022407932128546+0.0016830210002596697j),(0.03642142227440549-0.012996300868723684j),(-0.07679127283954537-0.02534512511121301j),(-0.14068620416964572-0.06863529595257575j),(-0.015064407014477503-0.003855645788062253j),(0.04626908788613385-0.020482804874551966j),(-0.06277260867188249-0.03144251041639946j),(-0.12387173163386106-0.07613454809295225j),(-0.021354111305590423-0.005353623483926653j),(0.05462161166277429-0.01996782295491839j),(-0.0539475752449242-0.030541149320334283j),(-0.097160189770331-0.09252065562774256j),(-0.018804412672876473-0.0067710054617548115j),(0.046495001035303664-0.017055620780611444j),(-0.04461453535539141-0.039002561887075675j),(-0.08125388471387768-0.09995746638503808j)
(-0.015850613454261815+0.011787162669504055j),(0.01786952111723266+0.007669456595858435j),(-0.036543397531060784+0.006327588551614258j),(-0.07296363951255747+0.0320305674877165j),(-0.01110583031084851+0.014222385066428606j),(0.017219077199378048-0.00043627805389471336j),(-0.04474178352998509-0.00015860183699800516j),(-0.06739315912652584+0.020043344581911763j),(-0.022573066997378925+0.006414462365367652j),(0.020026187880396475-0.004338951586953964j),(-0.039155348301292886-0.008949720709553818j),(-0.07043570913866273+0.016209679227032408j),(-0.016760560088162197+0.0072077468307587215j),(0.016308787256041592-0.00482745050536555j),(-0.04160224722546159-0.022123984051481325j),(-0.08326269118610874-5.65719338830456e-05j)
