0,1,2,3,4,5,6,7,8,9
(0.010977657907489636+0j),(-0.0229354638424337+0j),(0.04116621715308613+0j),(0.07625551653595479+0j),(0.01019353948552609+0j),(-0.025875907924796996+0j),(0.03940195070366816+0j),(0.06939448034377377+0j),(0.008037213825126338+0j),(-0.030188559245596498+0j),(0.033913121749923336+0j),(0.059593000069229456+0j),(0.012741924356907611+0j),(-0.02469973029185168+0j),(0.04391063162995854+0j),(0.06919845073828287+0j)
(0.028007381405097412+0.00498973992104801j),(-0.06625780107895807-0.0031318087592115576j),(0.12490164113395467-0.00739261860003871j),(0.23207091070749095-0.020353546347348973j),(0.024303576090132773+0.003887939373449401j),(-0.0760339012054515-0.003833538305415426j),(0.12176005653273503-0.006274007197905456j),(0.20986829138864474-0.015845479029746663j),(0.018413010717095883+0.0022916238723004827j),(-0.0881090763597616-0.0037623263828468045j),(0.11007128277282882-0.004568889560688587j),(0.1856979830964477-0.02022151218169407j),(0.02914239363890987+0.002006776182025999j),(-0.073317891423748-0.005341831029461076j),(0.1381760354004406-0.0021996325907671795j),(0.21656154932974128-0.01886206447783796j)
(0.012013566289031266+0.01361085466377144j),(-0.03216896835558415-0.011561170350049535j),(0.07953690772233417-0.026229674496938596j),(0.1616032445300706-0.06318172481746817j),(0.007092713334661764+0.01034375559372415j),(-0.04090235978155668-0.014140764832711985j),(0.08272128864028638-0.022149918986475926j),(0.1418415093969345-0.045149367117683414j),(0.0035311497679112293+0.009012992944677063j),(-0.04661894371326854-0.014142153892262414j),(0.08812069612072324-0.01754553019341573j),(0.13422067387406872-0.05971079008736956j),(0.002809083774009763+0.009513064136429106j),(-0.04079912343292326-0.018619411396912137j),(0.10421645347630487-0.009677410825238611j),(0.16156013387832735-0.056486306895487455j)
(-0.005713348743785916+0.0017415680719496053j),(0.051662117871997336-0.013246726898640995j),(-0.0641658340186442-0.025025425601970967j),(-0.0772062433164621-0.04878942765773402j),(-0.004932399067027956+0.0017516351915871516j),(0.05359481487811829-0.015032161731586745j),(-0.060146741255736734-0.021454209615369653j),(-0.07461919580847548-0.027079646139570354j),(-0.004791363085018366+0.007722666454593045j),(0.05985091973786262-0.015840699630128366j),(-0.0375409990819594-0.021595344336175243j),(-0.06572092274793634-0.03791217604364853j),(-0.014639294911838897+0.012430716902193072j),(0.048815794637167925-0.018088611955499045j),(-0.04502579464523841-0.01478925197016158j),(-0.06648504777881249-0.04028506915512014j)
(0.014891678671555227-0.02164078111247924j),(0.033435199245505504-0.0014600370890529984j),(-0.03694070168771596+0.00784575840063439j),(-0.03592297709938945+0.015665661759745163j),(0.018453841897869007-0.01540261323286237j),(0.0376186042029217+0.001463676907258001j),(-0.048444775514663335+0.005965166388087069j),(-0.02628104447036412+0.016042774626936436j),(0.01372055946561356-0.00840658463925774j),(0.03546804690903645-0.0008344319879712886j),(-0.04491774056012699-0.0008282384918992798j),(-0.037887814726708144+0.02297011075768335j),(0.021038200686222655-0.001613793694288817j),(0.0291161882882205+0.001367740204243591j),(-0.04192777522391556-0.0038946577085849235j),(-0.04233562323449212+0.009525423917342603j)
