0,1,2,3,4,5,6,7,8,9
(0.04097018754759524+0j),(0.018034723705161546+0j),(0.09154582576424392+0j),(0.1329080725228209+0j),(0.0372456250432684+0j),(0.013918101989852927+0j),(0.08684111523246264+0j),(0.12251850343180395+0j),(0.03920592109817727+0j),(0.010781628301998749+0j),(0.08664508562697176+0j),(0.1278113027800579+0j),(0.044498720446431196+0j),(0.016270457255743567+0j),(0.09585847708504343+0j),(0.1378088126600931+0j)
(0.1204363086500632-0.007371839241074027j),(0.04998700920930025-0.002199632590767179j),(0.26219001989861-0.0030670180116952393j),(0.3815813323474161+0.006047529080094986j),(0.11041343527244618-0.0037687475578991095j),(0.03713481623562086-0.0019859968230613156j),(0.2518261822200273-0.0016027366762012213j),(0.35412067872082953+0.009047303673651641j),(0.11786722325306334-0.004009583859621961j),(0.028472678837729998-0.0037247361693474763j),(0.25269446321913935-0.003077407691177583j),(0.3683725854605182+0.0058507041669237664j),(0.13404873934741546-0.00625719634337081j),(0.04409972068595429-0.005233028893393127j),(0.27951171808867575-0.003992773005087313j),(0.39871737838427623+0.0040575637526036315j)
(0.06224425752217551-0.018982337734773737j),(0.021399668565114945-0.005915084442391801j),(0.12789449994452415-0.0064807029555971245j),(0.19257793091069447+0.025098773356678466j),(0.05995753913937262-0.009005896370225603j),(0.011302623757028422-0.005952873330112394j),(0.13059029093464536-0.003936762164839779j),(0.1835187311875294+0.03320185132673401j),(0.06693556346801509-0.012164176415697017j),(0.006941831315776428-0.012324998849140598j),(0.1351665950791846-0.010409998385918722j),(0.18999054012358202+0.022375780206278777j),(0.07962887318268808-0.02013062836682401j),(0.014762844096575797-0.017318939725855742j),(0.1523073324715769-0.013236651671135065j),(0.20997283027985167+0.0180915777845915j)
(-0.08601342872879024-0.007706676037075953j),(-0.03524779640002791-0.003575660748887187j),(-0.17904453967294426-0.0022089346673091377j),(-0.24971061041222004+0.026056220715594134j),(-0.07365524913412487-0.0038322274432246984j),(-0.03164490098917623-0.006101483746762535j),(-0.16224153331139657-0.005096247220759955j),(-0.22580563250860114+0.02846397254762046j),(-0.07417796362935032-0.009850487096797398j),(-0.02715172317024741-0.013547408654745513j),(-0.1538592855774772-0.011779229037158064j),(-0.22724207880259056+0.02151271486446606j),(-0.07468176839654606-0.014276560574142963j),(-0.03641072946190532-0.018139690486871064j),(-0.1604926009218715-0.011887827704850203j),(-0.23737470243241324+0.022253395500752362j)
(-0.04391019392272897+0.005304929795442134j),(-0.0091011596634859+0.0027150264809441397j),(-0.08094917401032647-0.00641807774607166j),(-0.12376678434929383-0.011710904630417077j),(-0.038384042370656554-0.0018156543019162722j),(-0.0031573520139608017-0.0016849199401408224j),(-0.07081590905446461-0.013919399890775981j),(-0.10316988188121592-0.02422278651635235j),(-0.03201150833345937-0.0010817011904265565j),(-0.0020028953687858207-0.0044697054253793845j),(-0.05498989655733098-0.011046830418094516j),(-0.08155840144914145-0.017861878142358865j),(-0.026199390675537053+0.01223829077463765j),(-0.0058604419706324365-0.0063390872048928355j),(-0.04514204155903111-0.005449247262870294j),(-0.072084163918684-0.017064190875023366j)
