0,1,2,3,4,5,6,7,8,9
(0.007449125008653682+0j),(-0.028032233585196742+0j),(0.03999003952014081+0j),(0.07978404943479074+0j),(0.010977657907489634+0j),(-0.027052085557742314+0j),(0.04351857241897676+0j),(0.08919347049835329+0j),(0.005488828953744818+0j),(-0.03293297372246891+0j),(0.03900989149268639+0j),(0.07762772377439099+0j),(0.007057065797671907+0j),(-0.025483848713815222+0j),(0.037637684254250174+0j),(0.08076419746224517+0j)
(0.027405694950392474+0.0011962444997541798j),(-0.08015891068381648+0.0002472574767751547j),(0.12436847098040144-0.004189597918258532j),(0.2503838792041295-0.006514843499628306j),(0.03698859437968394+0.00045050356499867674j),(-0.07768138306719886+0.0008337637118587698j),(0.13163307765554902-0.0029453735255226816j),(0.27353878647368196-0.002094798959129265j),(0.021407828843957977+0.0008401848869110745j),(-0.09530188759927483+0.001030588625029987j),(0.12028526819660856-0.0038943605485017053j),(0.2418149380114664-0.004288010374844142j),(0.027760414799936524+0.0018499941529763779j),(-0.07290378557815011+0.0010305886250299868j),(0.11787934037679623-0.004535267851619295j),(0.25352228591746867-0.0017659398803031485j)
(0.027573580886614248+0.0033077524013404905j),(-0.04188344622346459+6.242041452988805e-05j),(0.08782840701475238-0.014615492138405522j),(0.17847809085973843-0.02619636381184008j),(0.033837087615620765-0.0020195322076588603j),(-0.040322963631642575+0.0009055230964711781j),(0.0858794633232256-0.009771666540844829j),(0.18177886727860232-0.010663580275602519j),(0.025173853079247566+0.0003317339600706462j),(-0.050884761672910866+0.001404135792708961j),(0.08103633514897729-0.012840952973448894j),(0.1692607749682976-0.020386643574622065j),(0.03652532576108366+0.0050297712043996575j),(-0.03721194350756713+0.0016889834829834434j),(0.08594610849964301-0.01634748884799668j),(0.18521212142637855-0.014855624413647317j)
(-0.0018599454420489816+0.0037659800899243257j),(0.04327639391689908+9.118114474232375e-05j),(-0.050881360984677666-0.012425094544841413j),(-0.10508313672840758-0.030119639069058j),(-0.0027633647620466904-0.006386312508690299j),(0.04297500353706947-0.002671973427792375j),(-0.059145287061240726-0.00934453333467196j),(-0.12705174109552755-0.016214590999542214j),(0.002828310121661597-0.00108203595258669j),(0.054400039247085065-0.004758220180607872j),(-0.05666184844257647-0.012494629561292625j),(-0.1040345405876048-0.027839797338814087j),(0.011721125155319059+0.008259091581928776j),(0.04254961720732783-0.003909233347986155j),(-0.044953125841103836-0.0157062583726301j),(-0.0981337563244567-0.03174916085056546j)
(-0.0008319358019993899+0.0043699798554379665j),(0.010159140096916128+0.003167959796004216j),(-0.03288708430484422+0.008686396042302477j),(-0.06813378754473011+0.0040152679776645234j),(-0.0028604545835886255+0.0028643826424096454j),(0.0071353677617069095-0.002513156073865986j),(-0.03427295337821956+0.0006779653371213126j),(-0.07535814759091602-0.0038504599875675187j),(-0.004313304580696549+0.008577272768278833j),(0.016431918802587226-0.008492091211453548j),(-0.03968509409480697-0.0021553963558294865j),(-0.06994183852061789-0.0015487137545587403j),(-0.009527672382529218+0.020634249839778292j),(0.008699677733950785-0.006766013949281831j),(-0.03864297712875919+0.005297797348982208j),(-0.0794399138532812-0.014207708501412737j)
