0,1,2,3,4,5,6,7,8,9
(-0.0021563256603997494+0j),(-0.03802974346523195+0j),(0.01568236843927091+0j),(0.06429771060101074+0j),(-0.002744414476872409+0j),(-0.03900989149268639+0j),(0.017642664494179772+0j),(0.05978902967472033+0j),(-0.0045086809262903866+0j),(-0.041754305969558786+0j),(0.01705457567770711+0j),(0.06253344415159275+0j),(-0.0009801480274544314+0j),(-0.034697240171886884+0j),(0.014898250017307364+0j),(0.05822079283079325+0j)
(-0.001977521807215425-0.00037929164243005606j),(-0.11075484751481388+2.7200534016987518e-05j),(0.05003209732314688+0.007090960055229577j),(0.18952134295883627-0.004464055929050673j),(-0.005907694448324814-0.001914784900492695j),(-0.11264974849270773-0.0002912688653267896j),(0.05456857937764989+0.005735480855803513j),(0.18075389451677654-0.004941760028066337j),(-0.009346699269282145-0.0009657978775136707j),(-0.12102886479967029+0.0012442243927358503j),(0.05187516084898312+0.008203150282310528j),(0.1885095700502658-0.0035486906151409427j),(0.0030357289386302297+3.7590213499329e-05j),(-0.10061538747314709+0.002725316582764514j),(0.04569601324545873+0.008680854381326195j),(0.17514798865951342-0.0048057573579814005j)
(0.008726766454244484-0.0053640857724479435j),(-0.06517278159502826-0.0016304677837540775j),(0.037665349380244906+0.019171799126406427j),(0.10789881664868914-0.01985997830918872j),(0.004748325119616016-0.008333909039066579j),(-0.06329514538049263-0.002064369606111288j),(0.036876770428495326+0.01732501291708722j),(0.1152530335707834-0.01885369329848934j),(0.004280780589405186-0.003739519027882214j),(-0.06844696299372732+0.0009934764376106184j),(0.03312197306755535+0.022605867243928508j),(0.12144760909034422-0.015671424649494017j),(0.01645765833033279-0.0016811030084151867j),(-0.05643693965244473+0.0047773452041950755j),(0.030724540239381856+0.02536190861607593j),(0.11145856356205842-0.020519905085456182j)
(0.006698349638701662-0.016424914416089224j),(0.04704677143560458-0.005841381088503317j),(-0.025345484689166226+0.0060478961868386276j),(-0.11659505118184474-0.026979609962074866j),(0.017134900374602947-0.014002544213029358j),(0.05231153307021042-0.006235362526606412j),(-0.03177666776435754+0.007085947241423519j),(-0.09492804825692687-0.02263149301044846j),(0.014920928076880363-0.006306885916548654j),(0.05995620575384405-0.008395381370385606j),(-0.028387151626319978+0.004394532215775649j),(-0.09130352891556387-0.022811875395613274j),(0.012705285852991861-0.008133246168049519j),(0.05233536223769072-0.006427930568664997j),(-0.02127434904813752+0.011260006485423624j),(-0.08604113406675573-0.03250653543415174j)
(-0.015768674418717682-0.017518821285611164j),(0.007507195603680173-0.003996200768329019j),(-0.033494214636046356-0.01930347907556962j),(-0.07259268683637658+0.0006104617909984782j),(0.004491061140409743-0.010308506138935134j),(0.006608275046822182-0.005776458114517142j),(-0.03109903789990742-0.02046675859974227j),(-0.07054954303877692-0.0021361849363716037j),(-0.001738886887440073-0.006327898928934457j),(0.015885117867451802-0.0138024440779517j),(-0.01786302590349207-0.027522578472692644j),(-0.06433617686647716-0.008876004190709025j),(-0.00986123273285628-0.012691970077212712j),(0.016596050614620845-0.014357074462328919j),(-0.015160002098837395-0.01816624755579352j),(-0.057036752085616406-0.023285270241454173j)
