0,1,2,3,4,5,6,7,8,9
(0.026856055952251427+0j),(-0.0001960296054908865+0j),(0.05743667440882969+0j),(0.125851006725149+0j),(0.014702220411816477+0j),(-0.004508680926290386+0j),(0.053516082299011974+0j),(0.11467731921216849+0j),(0.016858546072216225+0j),(-0.005096769742763045+0j),(0.0503796086111578+0j),(0.11938202974394978+0j),(0.026071937530287883+0j),(0.004704710531781272+0j),(0.056260496775884385+0j),(0.12526291790867639+0j)
(0.07896823724504314-0.002796528505333135j),(-0.0025247987737303766-0.006487642965611318j),(0.17634154767031954-0.001966733297904402j),(0.3763370112901875-0.010905234835488093j),(0.04352245954796062-0.004426465715551346j),(-0.015271777380259595-0.0063892305090257106j),(0.16329833932749616-0.0032510005747618483j),(0.3418182003442958-0.01001707005559535j),(0.050733493669186565-0.002670915514730539j),(-0.015951871918516464-0.006992547598643971j),(0.15664068793076502+0.0005889589057058817j),(0.35940236035954853-0.011142102632780905j),(0.07734379457773452-0.004189597918258532j),(0.01531422993985456-0.0063892305090257106j),(0.17429108224209283+0.0002873003608967531j),(0.3772740087988639-0.009359351897943112j)
(0.04273606687385291-0.00916237897607439j),(-0.011604829550968867-0.02170563792230828j),(0.10988521892724953-0.0022731033005744033j),(0.22155423038327465-0.041238242477464625j),(0.02174029355337039-0.014125230687978255j),(-0.018479024741730608-0.02273417767599454j),(0.0989791329603231-0.010933812109451447j),(0.20158552367528715-0.04089553889975407j),(0.027225471760046027-0.01291921855668329j),(-0.015085544724279623-0.026769583447754965j),(0.10025029193757416-0.003115159619048119j),(0.22264106241598566-0.047254887517805585j),(0.04360638244283223-0.018696287920596105j),(0.012452969034156235-0.025629118637913284j),(0.11685823054312944-0.005325718913669512j),(0.23972125600689825-0.04271038260818138j)
(-0.04686413365408948-0.005837238476341389j),(-0.01906509842203051-0.017716839123341432j),(-0.10211064036432453+0.014766386424211157j),(-0.21141342837807067-0.034802157546147044j),(-0.032027264604471375-0.013009957801636014j),(-0.011530774235021512-0.02256857514289246j),(-0.09866991810025381-0.005308815780740038j),(-0.19126343965850032-0.04111517444834863j),(-0.03531337691527658-0.01980243740532319j),(-0.005611158579352593-0.030479226244321814j),(-0.0950166462679591-0.0058195594162650955j),(-0.19154924226236916-0.054780816576534684j),(-0.04646394351894952-0.02458788190098799j),(-0.005376271956806822-0.031196929318830918j),(-0.0947390185812116-0.01034969233666636j),(-0.18704062144831474-0.05260472011246295j)
(-0.007693923451476362+0.004914635195841347j),(-0.006886125496646045+0.008781138989982328j),(-0.05026494849402369+0.025192685522013692j),(-0.08408792296041662+0.028584011878826154j),(-0.007478930210627614-0.0022195588028449025j),(-0.005927950728177275+0.003444603586164544j),(-0.04412416191974733+0.012827121878982948j),(-0.08554807560298153+0.02363562856943601j),(-0.009917698116614684-0.002976230600097756j),(-0.0073161208396037795-0.0015573337145997927j),(-0.06095906194813047+0.014602208478636155j),(-0.1093692073955007+0.014673048784668956j),(-0.017813552149992022+0.0028450148552046205j),(-0.008029744332544404-0.004654318793899546j),(-0.07869389903157051+0.014979771594072457j),(-0.11598220537640898+0.01844540892809724j)
