0,1,2,3,4,5,6,7,8,9
(0.041754305969558786+0j),(0.013918101989852927+0j),(0.09762274353446139+0j),(0.16525295742881718+0j),(0.06096520730766566+0j),(0.02822826319068763+0j),(0.11781379290002268+0j),(0.1868162140328147+0j),(0.048027253345267154+0j),(0.012153835540434952+0j),(0.09644656590151607+0j),(0.16388075019038095+0j),(0.047243134923303606+0j),(0.018034723705161543+0j),(0.09860289156191582+0j),(0.16721325348372604+0j)
(0.09918408198492118-0.02129214369084565j),(0.02147846923984011-0.008656106517931472j),(0.26498492114895866-0.01834677016532297j),(0.4589419001664717-0.03028504629646332j),(0.1540577268033237-0.02804782349219681j),(0.05898002120213572-0.01683847744127732j),(0.3181235434321721-0.027170048391786404j),(0.5155128746094504-0.03679988979609163j),(0.12265260265342041-0.02732286191640599j),(0.01835873334961572-0.017781043289204043j),(0.266075102141081-0.03004420999474047j),(0.4581538613145861-0.04227772349563764j),(0.12623178252087047-0.028034981142092207j),(0.04065534807947498-0.017516974957894237j),(0.2783488434933232-0.02875352154283071j),(0.47999163791896776-0.04425729914364665j)
(0.007670335562834064-0.04870949108984042j),(-0.029598710476005707-0.01333948194701906j),(0.11191988043180247-0.04250332601867117j),(0.20051977166904955-0.0760216565126008j),(0.03282557298070549-0.06191699737259613j),(-0.02001715436560383-0.03467678225693134j),(0.12620335930208615-0.06323274471187137j),(0.21493745243480666-0.09377158106978528j),(0.018180628368228296-0.06041397190122329j),(-0.03582516185102865-0.03759489625014512j),(0.11101548278325513-0.07139267395658308j),(0.19804687627639658-0.10974859312273454j),(0.030595527639684206-0.06859038923792489j),(-0.01510383584788854-0.03927551159881012j),(0.12978494894657816-0.06838351698225782j),(0.2355691869972269-0.1231629695562535j)
(-0.08111124269578376-0.0017980753399875517j),(-0.04245892149926857+0.014849810259265597j),(-0.1529872824616474-0.0030804977532488953j),(-0.3036439978528237-0.014671437645454422j),(-0.12274827820826832+0.010190472643406747j),(-0.07488910774878699+0.009954339990475968j),(-0.2018503515114638+0.0010753998250210076j),(-0.35627881044111714-0.01961651516959756j),(-0.12791656621935826+0.013226478008748845j),(-0.059607787575306215+0.010554924868086069j),(-0.17892075758283008-0.004269757979051866j),(-0.32746915023070106-0.02492056354199702j),(-0.12573636980052583-0.0030993066802167714j),(-0.07040353554323467+0.006610163832780701j),(-0.17636028207688198+0.0022611404307824254j),(-0.3237092655909415-0.04996089998635819j)
(0.03594439586306312+0.0419368731631251j),(0.023289188378242405+0.017557290019701216j),(-0.0038849073462727812+0.037190971715404995j),(-0.049506899186242015+0.06505073124511866j),(0.019795570081285442+0.07168296063418786j),(0.025939864630538916+0.03464000673764069j),(-0.01120371728308707+0.06507388306065107j),(-0.061213140055795534+0.08247483885915066j),(-0.0044831300840201815+0.07893428393192142j),(0.023937116941559995+0.04054479706521384j),(-0.021182564534503054+0.06378531420283447j),(-0.08040443643123797+0.1068598450736305j),(-0.01570832528287932+0.0752189611080738j),(0.013707711690876041+0.04337619705823957j),(-0.027570330863899775+0.07535865508331112j),(-0.11692000611843328+0.10150937959171404j)
