0,1,2,3,4,5,6,7,8,9
(0.013918101989852927+0j),(-0.024111641475379017+0j),(0.029404440823632954+0j),(0.06135726651864742+0j),(0.017250605283198002+0j),(-0.01921090133810686+0j),(0.04195033557504968+0j),(0.06566991783944692+0j),(0.009997509880035203+0j),(-0.026463996741269657+0j),(0.03293297372246891+0j),(0.05939697046373857+0j),(0.015878398044761797+0j),(-0.01823075331065243+0j),(0.031756796089523594+0j),(0.0631215329680654+0j)
(0.043711935454069636-0.0008738065959803663j),(-0.0700683602241079-0.007995935689656971j),(0.08484569293452451-0.0034542466629853704j),(0.17741682264369485-0.0027589382918338052j),(0.05454633710420472+0.004051142577551326j),(-0.054804230349655016-0.0062027952753368355j),(0.12562965040955532-0.002494869960524004j),(0.19280473874660226-0.005040172484651948j),(0.03341522795436607+0.0023020135517828246j),(-0.07666434361970872-0.0043928440064820535j),(0.09633714992847775-0.0008273425368064644j),(0.17674373203101362-0.002006776182025999j),(0.04989907954299231+0.0016779171031998815j),(-0.05144456950832837-0.006345219120474077j),(0.09050780461516922-0.0015186824035279926j),(0.1858667962054213-0.0026100932716442587j)
(0.032730531073320454+0.0012563635203610957j),(-0.0375982755533223-0.025635368464924157j),(0.04662847527233802-0.007326755908682401j),(0.09323770698702114-0.016742166044395008j),(0.04355740465710278+0.015589475063622219j),(-0.02594070983825647-0.01979244075558729j),(0.07788357302522504-0.004375348118878026j),(0.11123407557179116-0.019819087376724477j),(0.030002825854456617+0.012142146372209181j),(-0.04071990916738577-0.012906409983594522j),(0.055460339222525856+0.0010763799707385758j),(0.1067037753491692-0.012211180185176633j),(0.03582230535438386+0.010336431717969528j),(-0.023994450568020076-0.02002010925872693j),(0.0434600256525948-0.0008417305108987757j),(0.11051232996054977-0.015568088440320142j)
(-0.016182475726576342+0.0034970200509196305j),(0.04193949894016159-0.019137248436790003j),(-0.04331798874764045+0.005714239942552626j),(-0.10660431779994585-0.03155147711032818j),(-0.009968597658661444+0.011495780790885052j),(0.037560297899590075-0.015232157700965782j),(-0.06212513768331577+0.006372052485126123j),(-0.09874586734038768-0.023722664819249475j),(-0.00040675887683854894+0.014908142383607013j),(0.04591724461865278-0.007058939083311176j),(-0.0490085116353038+0.011879136189284602j),(-0.0884292018064357-0.020472435604790472j),(-0.014256708766212703+0.01792496647862402j),(0.03306319464261745-0.014301926679474072j),(-0.0612609199060075+0.009924303358346938j),(-0.08860724984324536-0.02636082892691602j)
(-0.013744617475278763-0.009961805124784992j),(0.017022840756091444+0.007964267098864074j),(-0.008823637939248601+0.0142779445496274j),(-0.03598887165762392-0.027332598537188287j),(-0.0044033853044833735-0.017114170797167563j),(0.013477528027143072+0.005819445083975537j),(-0.028091958705167733+0.013404297462900295j),(-0.023736378440325195-0.008882190367755834j),(0.003893919778209249-0.007277354305905637j),(0.019003764962036693+0.008079566750483857j),(-0.014126048508825147+0.018297720586058795j),(-0.02569547997906587-0.003943380606845034j),(0.001231629706545015+0.007217266787887812j),(0.008961178553789733+0.010368295060106761j),(-0.017719036187467146+0.016840858428915383j),(-0.01768847058147923-0.002135744487577187j)
