0,1,2,3,4,5,6,7,8,9
(0.01881884212712509+0j),(-0.023719582264397247+0j),(0.042146365180540574+0j),(0.07664757574693655+0j),(0.017446634888688882+0j),(-0.02273943423694282+0j),(0.048027253345267154+0j),(0.08527287838853555+0j),(0.018034723705161543+0j),(-0.02626796713577877+0j),(0.044694750051922076+0j),(0.07919596061831809+0j),(0.018622812521634204+0j),(-0.019995019760070405+0j),(0.04371460202446766+0j),(0.07272698363711882+0j)
(0.05462131042771964+0.0009865772364783536j),(-0.06961790986168671+0.0017387393462861603j),(0.1242788439407124-0.0013787112290130177j),(0.22677255021967777-0.004192050588880799j),(0.049963128511009584+0.0009049756344273906j),(-0.06853026546200564+0.003247032070331812j),(0.13932991181140508+0.0013426368493214599j),(0.249363501673621-0.0036703351013135013j),(0.052419703299435974-0.0011730124701672287j),(-0.07799747411005131+0.0024300792130076882j),(0.1315482692133777-0.0024572797470246753j),(0.23380850756360413-0.0047073449013957935j),(0.05420109882414188+0.00035209110841306825j),(-0.05960933665106867+0.001657137744235198j),(0.13029865771995258-0.0021388103476809j),(0.2134054076893661-0.007219025716454444j)
(0.030492580185702157+0.000588041421399403j),(-0.04318982975695608+0.004365349337002207j),(0.06856182584102608+0.0015006273153062059j),(0.12752952565565326-0.022845216115953887j),(0.03002429262259743-0.0010482410770712798j),(-0.0469194630569834+0.008559148210927878j),(0.07182005420977511+0.007632013294755221j),(0.14171021473663997-0.021585483603762074j),(0.03149947961443507-0.002343923521534813j),(-0.048299583400746166+0.005219249484540278j),(0.07137494109823994-0.003819228323026708j),(0.13862800412596218-0.02385291106154753j),(0.03291038111398438-0.0004420764323883235j),(-0.03752276338404084+0.0030139145288060106j),(0.07413175843295802-0.004503937902802756j),(0.12632101001907456-0.03250555196330866j)
(-0.025506682599725654-0.007367968382263827j),(0.028453457601232537+0.0014647405321601707j),(-0.07537129503628022+0.0065557189758533915j),(-0.1376784278013845-0.045694909712520576j),(-0.011576590083267838-0.009299553645126617j),(0.022998948532303897+0.0036722039234507527j),(-0.08795354156339133+0.009604558468922995j),(-0.1336479189059321-0.04311179120444089j),(-0.017695241267336057+0.003565984120545286j),(0.035564535396948274+0.00024770084442085095j),(-0.08106613675407026+0.004906835468490939j),(-0.11748320168099265-0.04422671920961806j),(-0.016407384714001754+0.00010146442132444967j),(0.02559953725145986+0.00038214210191910274j),(-0.07446126902870408+0.0019668023308868623j),(-0.09723449371031238-0.05176227767191268j)
(0.0005118539738023752-0.013358130722932692j),(0.01221392652029429-0.0026302853729132714j),(-0.030878894806535894-0.008370258410340904j),(-0.0653164345604944-0.02744236241965309j),(0.015412385125889497-0.008547626379402727j),(0.011693419938001801-0.004260425932070581j),(-0.028258194897142527-0.0050565724716255134j),(-0.05123974491827961-0.024534229824045666j),(0.003459811804384325+0.008725748032155487j),(0.01404309633529218-0.0022259331041650653j),(-0.028492146124989653+0.006174766058166751j),(-0.046247975570863395-0.029095483788545314j),(0.010382519463756117+0.007479982858123566j),(0.008015615130003621+0.003906296232788405j),(-0.02045536423683196+0.005223804068115288j),(-0.025732634867618287-0.031599839097122044j)
