0,1,2,3,4,5,6,7,8,9
(0.016074427650252684+0j),(-0.020779138182033953+0j),(0.03508929938286866+0j),(0.06782624349984667+0j),(0.019602960549088635+0j),(-0.01940693094359775+0j),(0.0388138618871955+0j),(0.07174683560966441+0j),(0.013330013173380268+0j),(-0.024307671080869904+0j),(0.03312900332795979+0j),(0.06802227310533755+0j),(0.020583108576543066+0j),(-0.01568236843927091+0j),(0.033325032933450675+0j),(0.06645403626141047+0j)
(0.05089099342979628-0.0036367133922442087j),(-0.06065115267965345-0.0021452315227332044j),(0.09896333703166313-9.841245658560794e-05j),(0.20158738552325667-0.0004336927104640303j),(0.05969861242637438+0.001535493258062639j),(-0.05596774624044681-0.0030502071571605954j),(0.10897191024228116-0.0006409073031175891j),(0.21023085209803274-0.00017604555420653318j),(0.040154059679194214+0.00047128292396336j),(-0.06992024535596078-0.001355479199426068j),(0.0909765745363218-0.0005088731374626891j),(0.20195248282508585-0.0021180309887162165j),(0.0619413826689991+7.121192256862106e-05j),(-0.0437313465344341-0.001541914433114944j),(0.09240891031285331-0.0055114554086153076j),(0.19302837384147664+0.0008817436048404387j)
(0.040395796823244304-0.013005213337786647j),(-0.034593287870142785-0.006498683320117117j),(0.0514201682589744-0.007560323346106637j),(0.11858623111583502-0.004156390446139683j),(0.04060297057760343+0.0053286905570577026j),(-0.031129137031393746-0.0073691956479685706j),(0.05627451587592808-0.006753567944879598j),(0.11615974536675883-0.0045174757236486505j),(0.02722415663094844+0.0014654781716591941j),(-0.03771005549164172-0.004138410081619696j),(0.042782115750468024-0.004204419703743048j),(0.11599661379771745-0.013722208114537462j),(0.04023246828939379+0.0014356917419265972j),(-0.0203881976269863-0.005094150178965632j),(0.04559238481207931-0.01957547940673677j),(0.10289826172052119-0.00513745754103621j)
(-0.011242908004921373-0.015220016214657843j),(0.02685312002452087-0.0072786369780761355j),(-0.04588841700415009-0.020747318941674725j),(-0.10884024544120642-0.010861822464626645j),(-0.026595014847192722+0.004608219609885625j),(0.025863512888991694-0.003697916349491658j),(-0.051164640732163875-0.012889388424398619j),(-0.12185054279413629-0.014173844591332908j),(-0.01496679647328107-0.00028115416506966327j),(0.03764462732633202-0.005792120153859645j),(-0.049056217350018354-0.0047595159126793095j),(-0.11614515160442959-0.0297900909451153j),(-0.02399658398128401+0.0034746728120377494j),(0.027919657354806-0.0072092859747432195j),(-0.05024069056058316-0.01834758965844951j),(-0.11422337552008541-0.025946716807126204j)
(-0.010275289685433276-0.006051864235191927j),(-0.00422194789229027-0.0038932904670273324j),(0.008649420424480008-0.008935342863635539j),(-0.03607872145875012-0.005779640365451884j),(-0.022278613562120925-0.005057927555558287j),(-0.0008370244902574688-0.0015764057625349613j),(0.0008413245211775187+0.002616954591781675j),(-0.03860786277849747-0.012217856323744555j),(-0.008650089143559785-0.006286130152311661j),(0.009738734773342353-0.008304427644496203j),(-0.007898289087111522+0.009731932332410412j),(-0.0465309338616439-0.021545587916554282j),(-0.0056053306914343615-0.0003351925614208846j),(0.0083155216477004-0.009437287996602631j),(-0.01653791643434116+0.007760403357586102j),(-0.03902882854478447-0.029789644461387602j)
