0,1,2,3,4,5,6,7,8,9
(0.0017642664494179772+0j),(-0.02450370068636079+0j),(0.034697240171886884+0j),(0.06880639152730111+0j),(-0.001176177632945317+0j),(-0.030188559245596498+0j),(0.03508929938286866+0j),(0.06802227310533755+0j),(-0.0019602960549088637+0j),(-0.032540914511487135+0j),(0.034893269777377764+0j),(0.0629255033625745+0j),(0.003332503293345067+0j),(-0.02509178950283345+0j),(0.03430518096090511+0j),(0.06527785862846514+0j)
(0.01613723175587444+0.0006305176236352481j),(-0.06754430399241901-0.001613126355683565j),(0.112037335606126-0.005928337264544691j),(0.21552638596234883-0.01456763292794152j),(0.006229054314888795+0.00124422439273585j),(-0.08508491764165187-0.0008065631778417824j),(0.11146136162859444-0.003555111790193247j),(0.21309677308307487-0.009225801898480442j),(0.004961318901561254+0.0001023809610156458j),(-0.09309392241043837-0.0009489870229790247j),(0.11332746663366118-0.004581731910793196j),(0.19757986087653712-0.009341025209600696j),(0.019398330891243216+0.0027292850871945516j),(-0.07291272252921072-0.0017931404143201359j),(0.10944903248279894-0.0013411210155136882j),(0.2070876880205032-0.010246000844028087j)
(0.040210877521938485-0.0052829179817891845j),(-0.022380242018447245-0.003886126940178676j),(0.09613415942396343-0.0255837077521393j),(0.16130117075112976-0.043716432619513856j),(0.03233488473163571-0.0016710179020676182j),(-0.03561318458951791-0.001065288369678935j),(0.09261547533036624-0.0170836323361548j),(0.15891477262976766-0.02784953833938321j),(0.03393350558893415-0.003928463466485171j),(-0.044687448225592445-0.0011169113186120436j),(0.10100293429813334-0.01840472810264067j),(0.15071584228656393-0.02724794220862999j),(0.03841538636413052+0.004575537540143682j),(-0.03902081479956038-0.0027719411932115912j),(0.0930389393518512-0.005455063304431476j),(0.1584677120383881-0.02776636342806837j)
(0.029693760082920514-0.02084433860071329j),(0.06916074894516896-0.002804382141213758j),(-0.021861591030281215-0.03356963841718423j),(-0.0697423971419297-0.03184689447768641j),(0.03191393709165536-0.01633689077073253j),(0.073670331518615+0.001214012352118907j),(-0.02207289652809044-0.030321064491862063j),(-0.0691288237454205-0.02196214328181493j),(0.03670663071667089-0.018936000905925378j),(0.07109888637432735+0.0026689460921719608j),(-0.010569778943544019-0.030756403662409414j),(-0.05487771221569045-0.0195420756291296j),(0.02471083740773831-0.012470476752441955j),(0.049039147245592704+0.0052479661586755655j),(-0.011448998768673524-0.017298403935859782j),(-0.06401515536722253-0.014911949563422443j)
(-0.007933633484704229-0.017249760190155904j),(0.0380662252137306-0.005223630581892279j),(-0.04478455859626077-0.0017132157065330306j),(-0.05959820685258103+0.013213023476089953j),(-0.009124547468820642-0.021853998643688453j),(0.04217693553032504-0.0020145086252575314j),(-0.03842655802252447-0.021208414178558403j),(-0.05416766691503967+0.004609399522868175j),(-0.0039551830522442655-0.028327631034359254j),(0.04450327777131544+0.0009029997173566635j),(-0.03183379038925-0.028424167034340746j),(-0.04201111187652842-0.00016870447202056542j),(-0.005390047584276646-0.031790995791736554j),(0.03340684710276716+0.008612402761435576j),(-0.020133445400796805-0.03548662817118273j),(-0.048798567229501405-0.0011145030345622864j)
