0,1,2,3,4,5,6,7,8,9
(0.003724562504326841+0j),(-0.03430518096090512+0j),(0.044498720446431196+0j),(0.0644937402065016+0j),(0.0019602960549088633+0j),(-0.03646150662130486+0j),(0.036657536226795746+0j),(0.05920094085824768+0j),(0.0013722072384362042+0j),(-0.038225773070722835+0j),(0.03704959543777752+0j),(0.056652555986866145+0j),(0.0025483848713815224+0j),(-0.03214885530050536+0j),(0.03900989149268638+0j),(0.06076917770217477+0j)
(0.0067530329300167155-0.0047592932988075j),(-0.10158888283940926+0.0011898233247018754j),(0.1387206768127039-0.0069149145010230445j),(0.19964293366796537-0.012931274542671007j),(0.006024380074185006-0.010341960629991428j),(-0.10667219163423343+0.0016507165691828929j),(0.11593270090865532-0.0076774662903131945j),(0.18089198091223002-0.016123905544968842j),(0.0032308603765253442-0.00812796985531187j),(-0.11256494233532818+0.001562693792079626j),(0.11627083630133206-0.006768522151455766j),(0.1780168352298631-0.014726867627613407j),(0.007852051911389223-0.007426240309108003j),(-0.09449900167717788+0.0026813051942128803j),(0.12720817031354079-0.006138004527820519j),(0.19042185469081227-0.013522686118999153j)
(-0.00406802805532947-0.00932488670943502j),(-0.06426052101581177+0.0006889105354431867j),(0.09747414689002856-0.023385610347687907j),(0.1455961194457303-0.042880029163581496j),(0.004741930981637284-0.026167239298804542j),(-0.06306916810420293+0.0015136840650419583j),(0.08175200888729342-0.027275486242731527j),(0.12390985025561636-0.050816142072998165j),(-0.0008773677908554939-0.020835909494573625j),(-0.06710447322063653+0.0011633099286580207j),(0.08372328855653094-0.02669480435603474j),(0.13260794614221413-0.04907593697636005j),(0.0030154561277180563-0.02061518230235025j),(-0.05437870000957874+0.003005842634854189j),(0.10443546965848613-0.026493467463225614j),(0.14309355892574402-0.04643586823443214j)
(-0.007100651044316569+0.009778705727317052j),(0.039948879407827376-0.007339574941312301j),(-0.06032492177639684-0.017897599973042327j),(-0.0695221005882607-0.03367291687764864j),(-0.001155517826234432+0.00038158197225705154j),(0.04892583567768878-0.0073893983536103556j),(-0.058348284503122454-0.024924869979010684j),(-0.07521072281444008-0.0374517310953005j),(-0.0073190706368705515-0.005364641224521893j),(0.05379647285006534-0.008788454010124534j),(-0.049270246066813836-0.03481048815065279j),(-0.06709510286374004-0.04737123490148058j),(-0.010375687195753942-0.010609796204521639j),(0.05093942829172575-0.011885267174937554j),(-0.03654288359299013-0.03930903798689062j),(-0.06485759855484842-0.056477401256952164j)
(0.007342198390336533+0.023987637221218244j),(0.013576737088518767-0.009877978651892473j),(-0.039412729357685396+0.016386418500775005j),(-0.05315984819948347+0.02070224022927207j),(-0.0009824915137045974+0.03710894351056458j),(0.013632174433418107-0.007610442938302443j),(-0.04710669255064198+0.009318214116106161j),(-0.05138650979803293+0.020269897732852232j),(-0.0014354171633289515+0.01569999937081048j),(0.017715363089317107-0.00957517428148802j),(-0.04117002028343291-0.00961692110103532j),(-0.06508577661536102-0.0033250111057709763j),(-0.0032207242177398317+0.010623897783381726j),(0.01911987818377366-0.01691820496651451j),(-0.04930182926027045-0.01656800350568207j),(-0.06293946998382535-0.03137586145887265j)
